Date,Public Health Unit,Cases by episode date,7 day rolling average: Cases by episode date,Cases rate by episode date,Cases by reported date,7 day rolling average: Cases by reported date,Cases rate by reported date,Hospitalizations by episode date,Hospitalizations rate by episode date,Hospitalizations by reported date,Hospalizations rate by reported date,Deaths,Deaths rate
"March 23, 2020",Ontario,340,324,2.3,145,81,1,76,0.5,29,0.2,2,0
"March 24, 2020",Ontario,278,336,1.9,174,96,1.2,58,0.4,40,0.3,5,0
"March 25, 2020",Ontario,306,337,2.1,138,115,0.9,62,0.4,31,0.2,4,0
"March 26, 2020",Ontario,294,342,2,250,128,1.7,77,0.5,62,0.4,3,0
"March 27, 2020",Ontario,331,347,2.2,297,158,2,63,0.4,70,0.5,4,0
"March 28, 2020",Ontario,317,343,2.2,236,190,1.6,61,0.4,60,0.4,8,0.1
"March 29, 2020",Ontario,291,350,2,227,217,1.5,71,0.5,59,0.4,14,0.1
"March 30, 2020",Ontario,388,352,2.6,438,240,3,68,0.5,88,0.6,18,0.1
"March 31, 2020",Ontario,329,360,2.2,410,287,2.8,76,0.5,94,0.6,15,0.1
"April 1, 2020",Ontario,477,368,3.2,454,326,3.1,93,0.6,82,0.6,15,0.1
"April 2, 2020",Ontario,370,396,2.5,450,377,3.1,70,0.5,104,0.7,27,0.2
"April 3, 2020",Ontario,443,409,3,465,410,3.2,78,0.5,83,0.6,22,0.1
"April 4, 2020",Ontario,404,427,2.7,349,438,2.4,62,0.4,83,0.6,29,0.2
"April 5, 2020",Ontario,367,441,2.5,371,456,2.5,66,0.4,79,0.5,29,0.2
"April 6, 2020",Ontario,452,454,3.1,479,480,3.3,85,0.6,99,0.7,29,0.2
"April 7, 2020",Ontario,429,464,2.9,458,486,3.1,79,0.5,89,0.6,35,0.2
"April 8, 2020",Ontario,432,480,2.9,493,494,3.3,73,0.5,94,0.6,38,0.3
"April 9, 2020",Ontario,463,473,3.1,489,500,3.3,68,0.5,97,0.7,42,0.3
"April 10, 2020",Ontario,550,488,3.7,399,507,2.7,72,0.5,94,0.6,36,0.2
"April 11, 2020",Ontario,532,506,3.6,476,496,3.2,78,0.5,88,0.6,44,0.3
"April 12, 2020",Ontario,467,527,3.2,549,517,3.7,53,0.4,71,0.5,47,0.3
"April 13, 2020",Ontario,612,543,4.2,600,546,4.1,75,0.5,91,0.6,51,0.3
"April 14, 2020",Ontario,588,569,4,558,566,3.8,74,0.5,91,0.6,45,0.3
"April 15, 2020",Ontario,639,595,4.3,619,582,4.2,89,0.6,87,0.6,59,0.4
"April 16, 2020",Ontario,618,629,4.2,579,602,3.9,80,0.5,78,0.5,56,0.4
"April 17, 2020",Ontario,663,654,4.5,752,617,5.1,77,0.5,107,0.7,54,0.4
"April 18, 2020",Ontario,544,672,3.7,600,675,4.1,70,0.5,70,0.5,55,0.4
"April 19, 2020",Ontario,360,674,2.4,594,695,4,55,0.4,72,0.5,84,0.6
"April 20, 2020",Ontario,542,657,3.7,614,702,4.2,71,0.5,82,0.6,56,0.4
"April 21, 2020",Ontario,436,646,3,522,705,3.5,66,0.4,55,0.4,65,0.4
"April 22, 2020",Ontario,459,621,3.1,548,699,3.7,62,0.4,73,0.5,70,0.5
"April 23, 2020",Ontario,446,591,3,511,687,3.5,64,0.4,84,0.6,58,0.4
"April 24, 2020",Ontario,427,563,2.9,433,676,2.9,62,0.4,63,0.4,63,0.4
"April 25, 2020",Ontario,448,525,3,427,624,2.9,55,0.4,53,0.4,68,0.5
"April 26, 2020",Ontario,371,509,2.5,367,596,2.5,47,0.3,55,0.4,63,0.4
"April 27, 2020",Ontario,474,511,3.2,479,559,3.3,75,0.5,62,0.4,67,0.5
"April 28, 2020",Ontario,411,500,2.8,417,537,2.8,60,0.4,68,0.5,48,0.3
"April 29, 2020",Ontario,397,496,2.7,406,520,2.8,54,0.4,65,0.4,67,0.5
"April 30, 2020",Ontario,409,486,2.8,409,496,2.8,72,0.5,62,0.4,62,0.4
"May 1, 2020",Ontario,437,480,3,488,480,3.3,55,0.4,75,0.5,63,0.4
"May 2, 2020",Ontario,325,481,2.2,333,489,2.3,36,0.2,67,0.5,51,0.3
"May 3, 2020",Ontario,271,461,1.8,341,473,2.3,30,0.2,47,0.3,72,0.5
"May 4, 2020",Ontario,330,445,2.2,333,469,2.3,44,0.3,49,0.3,46,0.3
"May 5, 2020",Ontario,335,421,2.3,409,445,2.8,44,0.3,74,0.5,41,0.3
"May 6, 2020",Ontario,274,409,1.9,356,444,2.4,27,0.2,38,0.3,44,0.3
"May 7, 2020",Ontario,317,389,2.2,306,436,2.1,36,0.2,40,0.3,43,0.3
"May 8, 2020",Ontario,348,374,2.4,298,419,2,46,0.3,38,0.3,38,0.3
"May 9, 2020",Ontario,318,359,2.2,310,388,2.1,32,0.2,33,0.2,39,0.3
"May 10, 2020",Ontario,288,358,2,294,384,2,29,0.2,43,0.3,41,0.3
"May 11, 2020",Ontario,391,361,2.7,216,376,1.5,42,0.3,29,0.2,38,0.3
"May 12, 2020",Ontario,353,371,2.4,258,357,1.8,37,0.3,28,0.2,34,0.2
"May 13, 2020",Ontario,312,374,2.1,362,333,2.5,29,0.2,41,0.3,27,0.2
"May 14, 2020",Ontario,355,380,2.4,342,334,2.3,41,0.3,45,0.3,26,0.2
"May 15, 2020",Ontario,467,386,3.2,381,340,2.6,62,0.4,67,0.5,31,0.2
"May 16, 2020",Ontario,330,406,2.2,370,353,2.5,40,0.3,30,0.2,30,0.2
"May 17, 2020",Ontario,305,408,2.1,421,363,2.9,31,0.2,38,0.3,25,0.2
"May 18, 2020",Ontario,352,410,2.4,376,384,2.6,29,0.2,31,0.2,26,0.2
"May 19, 2020",Ontario,397,404,2.7,327,410,2.2,29,0.2,28,0.2,27,0.2
"May 20, 2020",Ontario,408,411,2.8,388,421,2.6,39,0.3,33,0.2,19,0.1
"May 21, 2020",Ontario,348,427,2.4,338,425,2.3,30,0.2,23,0.2,26,0.2
"May 22, 2020",Ontario,284,426,1.9,400,425,2.7,21,0.1,39,0.3,20,0.1
"May 23, 2020",Ontario,286,396,1.9,367,428,2.5,25,0.2,37,0.3,25,0.2
"May 24, 2020",Ontario,278,389,1.9,340,427,2.3,33,0.2,30,0.2,24,0.2
"May 25, 2020",Ontario,373,384,2.5,399,414,2.7,40,0.3,45,0.3,29,0.2
"May 26, 2020",Ontario,311,388,2.1,273,418,1.9,25,0.2,21,0.1,39,0.3
"May 27, 2020",Ontario,291,374,2,322,409,2.2,23,0.2,32,0.2,27,0.2
"May 28, 2020",Ontario,240,354,1.6,325,398,2.2,22,0.1,24,0.2,19,0.1
"May 29, 2020",Ontario,333,337,2.3,606,396,4.1,23,0.2,39,0.3,25,0.2
"May 30, 2020",Ontario,285,345,1.9,346,430,2.3,20,0.1,37,0.3,19,0.1
"May 31, 2020",Ontario,199,345,1.4,412,426,2.8,15,0.1,22,0.1,10,0.1
"June 1, 2020",Ontario,363,332,2.5,396,438,2.7,18,0.1,27,0.2,12,0.1
"June 2, 2020",Ontario,229,330,1.6,366,438,2.5,15,0.1,19,0.1,10,0.1
"June 3, 2020",Ontario,235,317,1.6,348,453,2.4,15,0.1,22,0.1,16,0.1
"June 4, 2020",Ontario,233,308,1.6,279,457,1.9,10,0.1,22,0.1,18,0.1
"June 5, 2020",Ontario,227,306,1.5,278,449,1.9,14,0.1,24,0.2,17,0.1
"June 6, 2020",Ontario,192,289,1.3,222,396,1.5,16,0.1,16,0.1,9,0.1
"June 7, 2020",Ontario,161,274,1.1,207,376,1.4,10,0.1,8,0.1,9,0.1
"June 8, 2020",Ontario,225,268,1.5,214,342,1.5,14,0.1,16,0.1,7,0
"June 9, 2020",Ontario,172,245,1.2,216,312,1.5,13,0.1,15,0.1,15,0.1
"June 10, 2020",Ontario,205,236,1.4,237,288,1.6,12,0.1,15,0.1,5,0
"June 11, 2020",Ontario,181,231,1.2,187,270,1.3,10,0.1,21,0.1,6,0
"June 12, 2020",Ontario,176,223,1.2,240,255,1.6,7,0,14,0.1,5,0
"June 13, 2020",Ontario,129,214,0.9,171,249,1.2,12,0.1,10,0.1,11,0.1
"June 14, 2020",Ontario,149,204,1,143,240,1,10,0.1,2,0,9,0.1
"June 15, 2020",Ontario,214,202,1.5,177,230,1.2,9,0.1,10,0.1,6,0
"June 16, 2020",Ontario,190,200,1.3,174,224,1.2,10,0.1,12,0.1,6,0
"June 17, 2020",Ontario,180,203,1.2,190,217,1.3,6,0,12,0.1,4,0
"June 18, 2020",Ontario,163,199,1.1,198,209,1.3,8,0.1,14,0.1,5,0
"June 19, 2020",Ontario,164,196,1.1,189,211,1.3,6,0,9,0.1,5,0
"June 20, 2020",Ontario,153,194,1,154,203,1,8,0.1,10,0.1,6,0
"June 21, 2020",Ontario,132,198,0.9,174,200,1.2,4,0,16,0.1,4,0
"June 22, 2020",Ontario,179,195,1.2,202,205,1.4,7,0,6,0,7,0
"June 23, 2020",Ontario,171,190,1.2,152,209,1,8,0.1,6,0,9,0.1
"June 24, 2020",Ontario,149,186,1,164,206,1.1,7,0,5,0,6,0
"June 25, 2020",Ontario,273,181,1.9,146,201,1,10,0.1,9,0.1,3,0
"June 26, 2020",Ontario,112,199,0.8,182,193,1.2,6,0,6,0,4,0
"June 27, 2020",Ontario,116,191,0.8,230,192,1.6,5,0,5,0,3,0
"June 28, 2020",Ontario,118,185,0.8,205,204,1.4,4,0,7,0,4,0
"June 29, 2020",Ontario,152,183,1,131,209,0.9,5,0,10,0.1,5,0
"June 30, 2020",Ontario,134,178,0.9,176,198,1.2,6,0,11,0.1,1,0
"July 1, 2020",Ontario,103,172,0.7,150,201,1,4,0,2,0,2,0
"July 2, 2020",Ontario,118,165,0.8,142,199,1,7,0,6,0,2,0
"July 3, 2020",Ontario,118,139,0.8,152,199,1,6,0,4,0,3,0
"July 4, 2020",Ontario,107,140,0.7,129,194,0.9,8,0.1,6,0,1,0
"July 5, 2020",Ontario,79,139,0.5,92,177,0.6,3,0,7,0,1,0
"July 6, 2020",Ontario,212,132,1.4,105,159,0.7,9,0.1,6,0,7,0
"July 7, 2020",Ontario,161,142,1.1,139,154,0.9,10,0.1,8,0.1,3,0
"July 8, 2020",Ontario,144,147,1,142,148,1,13,0.1,10,0.1,4,0
"July 9, 2020",Ontario,118,153,0.8,136,147,0.9,8,0.1,8,0.1,2,0
"July 10, 2020",Ontario,136,153,0.9,124,146,0.8,11,0.1,5,0,5,0
"July 11, 2020",Ontario,116,156,0.8,128,142,0.9,9,0.1,8,0.1,3,0
"July 12, 2020",Ontario,104,158,0.7,113,141,0.8,6,0,5,0,0,0
"July 13, 2020",Ontario,185,162,1.3,98,145,0.7,7,0,6,0,4,0
"July 14, 2020",Ontario,166,157,1.1,105,144,0.7,10,0.1,9,0.1,2,0
"July 15, 2020",Ontario,174,158,1.2,133,138,0.9,4,0,5,0,4,0
"July 16, 2020",Ontario,134,163,0.9,142,137,1,1,0,11,0.1,3,0
"July 17, 2020",Ontario,133,166,0.9,165,138,1.1,2,0,2,0,3,0
"July 18, 2020",Ontario,116,165,0.8,175,144,1.2,4,0,6,0,3,0
"July 19, 2020",Ontario,101,165,0.7,122,152,0.8,12,0.1,6,0,1,0
"July 20, 2020",Ontario,145,165,1,178,153,1.2,5,0,9,0.1,1,0
"July 21, 2020",Ontario,145,158,1,117,167,0.8,7,0,5,0,1,0
"July 22, 2020",Ontario,133,155,0.9,123,168,0.8,4,0,8,0.1,2,0
"July 23, 2020",Ontario,110,148,0.7,195,167,1.3,4,0,6,0,1,0
"July 24, 2020",Ontario,114,144,0.8,139,176,0.9,3,0,5,0,2,0
"July 25, 2020",Ontario,97,141,0.7,118,171,0.8,5,0,3,0,2,0
"July 26, 2020",Ontario,89,138,0.6,125,162,0.8,6,0,6,0,3,0
"July 27, 2020",Ontario,138,136,0.9,122,162,0.8,5,0,5,0,1,0
"July 28, 2020",Ontario,100,135,0.7,122,153,0.8,7,0,10,0.1,2,0
"July 29, 2020",Ontario,105,128,0.7,100,154,0.7,3,0,6,0,1,0
"July 30, 2020",Ontario,95,123,0.6,109,150,0.7,9,0.1,3,0,2,0
"July 31, 2020",Ontario,82,120,0.6,127,136,0.9,7,0,10,0.1,1,0
"August 1, 2020",Ontario,79,115,0.5,103,134,0.7,4,0,8,0.1,3,0
"August 2, 2020",Ontario,66,112,0.4,57,132,0.4,5,0,1,0,1,0
"August 3, 2020",Ontario,88,109,0.6,97,121,0.7,2,0,5,0,0,0
"August 4, 2020",Ontario,85,100,0.6,87,117,0.6,2,0,6,0,0,0
"August 5, 2020",Ontario,91,98,0.6,81,111,0.5,2,0,3,0,1,0
"August 6, 2020",Ontario,74,96,0.5,97,108,0.7,4,0,4,0,2,0
"August 7, 2020",Ontario,107,92,0.7,80,106,0.5,6,0,3,0,1,0
"August 8, 2020",Ontario,77,96,0.5,92,98,0.6,2,0,2,0,0,0
"August 9, 2020",Ontario,67,96,0.5,90,96,0.6,2,0,4,0,0,0
"August 10, 2020",Ontario,129,96,0.9,69,102,0.5,6,0,4,0,1,0
"August 11, 2020",Ontario,98,103,0.7,88,97,0.6,3,0,6,0,1,0
"August 12, 2020",Ontario,92,105,0.6,96,97,0.7,9,0.1,0,0,0,0
"August 13, 2020",Ontario,113,105,0.8,90,100,0.6,5,0,3,0,1,0
"August 14, 2020",Ontario,94,112,0.6,91,99,0.6,3,0,2,0,0,0
"August 15, 2020",Ontario,82,109,0.6,86,101,0.6,5,0,4,0,0,0
"August 16, 2020",Ontario,76,110,0.5,100,100,0.7,5,0,5,0,1,0
"August 17, 2020",Ontario,150,112,1,99,101,0.7,6,0,4,0,1,0
"August 18, 2020",Ontario,106,115,0.7,104,106,0.7,8,0.1,4,0,2,0
"August 19, 2020",Ontario,109,116,0.7,103,109,0.7,10,0.1,7,0,1,0
"August 20, 2020",Ontario,110,119,0.7,107,110,0.7,9,0.1,8,0.1,2,0
"August 21, 2020",Ontario,118,119,0.8,133,113,0.9,6,0,12,0.1,0,0
"August 22, 2020",Ontario,109,123,0.7,82,120,0.6,6,0,8,0.1,0,0
"August 23, 2020",Ontario,118,127,0.8,101,119,0.7,4,0,6,0,1,0
"August 24, 2020",Ontario,146,134,1,117,119,0.8,5,0,5,0,1,0
"August 25, 2020",Ontario,145,133,1,120,122,0.8,3,0,4,0,0,0
"August 26, 2020",Ontario,140,140,1,131,125,0.9,3,0,2,0,0,0
"August 27, 2020",Ontario,107,145,0.7,150,129,1,5,0,7,0,1,0
"August 28, 2020",Ontario,129,144,0.9,121,136,0.8,6,0,3,0,0,0
"August 29, 2020",Ontario,123,146,0.8,109,134,0.7,5,0,4,0,0,0
"August 30, 2020",Ontario,144,148,1,122,139,0.8,3,0,4,0,1,0
"August 31, 2020",Ontario,166,152,1.1,134,142,0.9,6,0,4,0,0,0
"September 1, 2020",Ontario,200,156,1.4,123,145,0.8,7,0,7,0,2,0
"September 2, 2020",Ontario,197,165,1.3,126,145,0.9,3,0,6,0,0,0
"September 3, 2020",Ontario,179,174,1.2,169,144,1.1,5,0,3,0,1,0
"September 4, 2020",Ontario,204,186,1.4,155,148,1.1,7,0,7,0,0,0
"September 5, 2020",Ontario,192,198,1.3,147,153,1,6,0,5,0,1,0
"September 6, 2020",Ontario,187,209,1.3,193,159,1.3,3,0,4,0,0,0
"September 7, 2020",Ontario,255,216,1.7,174,171,1.2,10,0.1,7,0,2,0
"September 8, 2020",Ontario,280,231,1.9,181,177,1.2,8,0.1,2,0,0,0
"September 9, 2020",Ontario,293,244,2,194,187,1.3,8,0.1,5,0,0,0
"September 10, 2020",Ontario,336,260,2.3,205,198,1.4,12,0.1,6,0,1,0
"September 11, 2020",Ontario,304,285,2.1,265,204,1.8,12,0.1,12,0.1,1,0
"September 12, 2020",Ontario,323,302,2.2,296,222,2,2,0,9,0.1,2,0
"September 13, 2020",Ontario,331,323,2.2,215,246,1.5,10,0.1,4,0,2,0
"September 14, 2020",Ontario,468,346,3.2,278,250,1.9,13,0.1,7,0,2,0
"September 15, 2020",Ontario,519,381,3.5,318,267,2.2,16,0.1,8,0.1,1,0
"September 16, 2020",Ontario,483,420,3.3,335,289,2.3,14,0.1,16,0.1,1,0
"September 17, 2020",Ontario,433,451,2.9,429,312,2.9,6,0,6,0,7,0
"September 18, 2020",Ontario,486,467,3.3,397,349,2.7,10,0.1,14,0.1,1,0
"September 19, 2020",Ontario,444,497,3,399,370,2.7,9,0.1,7,0,2,0
"September 20, 2020",Ontario,465,517,3.2,401,387,2.7,16,0.1,12,0.1,1,0
"September 21, 2020",Ontario,692,538,4.7,387,417,2.6,19,0.1,12,0.1,0,0
"September 22, 2020",Ontario,644,575,4.4,373,435,2.5,14,0.1,13,0.1,2,0
"September 23, 2020",Ontario,668,595,4.5,397,444,2.7,20,0.1,8,0.1,1,0
"September 24, 2020",Ontario,669,626,4.5,426,454,2.9,27,0.2,11,0.1,3,0
"September 25, 2020",Ontario,700,664,4.8,515,454,3.5,24,0.2,18,0.1,3,0
"September 26, 2020",Ontario,630,699,4.3,624,473,4.2,24,0.2,16,0.1,4,0
"September 27, 2020",Ontario,646,729,4.4,560,510,3.8,19,0.1,29,0.2,2,0
"September 28, 2020",Ontario,808,759,5.5,532,536,3.6,30,0.2,9,0.1,2,0
"September 29, 2020",Ontario,750,778,5.1,608,560,4.1,26,0.2,26,0.2,7,0
"September 30, 2020",Ontario,722,795,4.9,681,598,4.6,19,0.1,27,0.2,1,0
"October 1, 2020",Ontario,625,804,4.2,624,644,4.2,22,0.1,20,0.1,6,0
"October 2, 2020",Ontario,617,797,4.2,674,677,4.6,22,0.1,15,0.1,2,0
"October 3, 2020",Ontario,567,783,3.8,545,703,3.7,32,0.2,12,0.1,7,0
"October 4, 2020",Ontario,550,773,3.7,587,690,4,22,0.1,21,0.1,5,0
"October 5, 2020",Ontario,762,757,5.2,577,694,3.9,39,0.3,19,0.1,1,0
"October 6, 2020",Ontario,702,750,4.8,759,701,5.2,21,0.1,25,0.2,4,0
"October 7, 2020",Ontario,714,742,4.8,881,726,6,34,0.2,49,0.3,4,0
"October 8, 2020",Ontario,673,741,4.6,743,759,5,27,0.2,36,0.2,6,0
"October 9, 2020",Ontario,713,749,4.8,804,778,5.5,29,0.2,39,0.3,7,0
"October 10, 2020",Ontario,714,764,4.8,688,799,4.7,26,0.2,21,0.1,8,0.1
"October 11, 2020",Ontario,616,788,4.2,797,823,5.4,22,0.1,30,0.2,1,0
"October 12, 2020",Ontario,714,799,4.8,591,857,4,35,0.2,12,0.1,4,0
"October 13, 2020",Ontario,793,791,5.4,833,859,5.7,17,0.1,26,0.2,7,0
"October 14, 2020",Ontario,781,806,5.3,879,871,6,32,0.2,25,0.2,7,0
"October 15, 2020",Ontario,716,817,4.9,764,871,5.2,25,0.2,30,0.2,7,0
"October 16, 2020",Ontario,778,824,5.3,708,874,4.8,28,0.2,33,0.2,7,0
"October 17, 2020",Ontario,697,835,4.7,705,859,4.8,38,0.3,24,0.2,6,0
"October 18, 2020",Ontario,726,832,4.9,801,862,5.4,26,0.2,34,0.2,9,0.1
"October 19, 2020",Ontario,992,850,6.7,755,862,5.1,29,0.2,33,0.2,8,0.1
"October 20, 2020",Ontario,944,895,6.4,759,889,5.2,32,0.2,36,0.2,5,0
"October 21, 2020",Ontario,895,920,6.1,842,877,5.7,34,0.2,26,0.2,9,0.1
"October 22, 2020",Ontario,942,938,6.4,993,871,6.7,33,0.2,33,0.2,7,0
"October 23, 2020",Ontario,867,975,5.9,955,908,6.5,36,0.2,32,0.2,7,0
"October 24, 2020",Ontario,797,990,5.4,936,949,6.4,22,0.1,28,0.2,13,0.1
"October 25, 2020",Ontario,792,1006,5.4,880,986,6,31,0.2,37,0.3,4,0
"October 26, 2020",Ontario,960,1017,6.5,779,999,5.3,50,0.3,22,0.1,8,0.1
"October 27, 2020",Ontario,945,1012,6.4,875,1003,5.9,45,0.3,39,0.3,6,0
"October 28, 2020",Ontario,1040,1012,7.1,925,1022,6.3,37,0.3,36,0.2,17,0.1
"October 29, 2020",Ontario,840,1036,5.7,891,1036,6,42,0.3,35,0.2,12,0.1
"October 30, 2020",Ontario,928,1019,6.3,1090,1019,7.4,53,0.4,54,0.4,12,0.1
"October 31, 2020",Ontario,943,1029,6.4,948,1041,6.4,41,0.3,41,0.3,8,0.1
"November 1, 2020",Ontario,1021,1053,6.9,1102,1043,7.5,45,0.3,30,0.2,11,0.1
"November 2, 2020",Ontario,1435,1090,9.7,968,1079,6.6,48,0.3,46,0.3,17,0.1
"November 3, 2020",Ontario,1438,1168,9.8,876,1110,5.9,50,0.3,45,0.3,16,0.1
"November 4, 2020",Ontario,1440,1248,9.8,940,1110,6.4,51,0.3,39,0.3,15,0.1
"November 5, 2020",Ontario,1473,1313,10,1260,1113,8.6,77,0.5,36,0.2,8,0.1
"November 6, 2020",Ontario,1590,1417,10.8,1299,1173,8.8,48,0.3,60,0.4,15,0.1
"November 7, 2020",Ontario,1344,1525,9.1,1156,1207,7.8,53,0.4,50,0.3,22,0.1
"November 8, 2020",Ontario,1276,1590,8.7,1325,1241,9,57,0.4,51,0.3,15,0.1
"November 9, 2020",Ontario,1666,1632,11.3,1427,1277,9.7,53,0.4,61,0.4,19,0.1
"November 10, 2020",Ontario,1488,1670,10.1,1575,1352,10.7,59,0.4,56,0.4,26,0.2
"November 11, 2020",Ontario,1544,1678,10.5,1533,1466,10.4,56,0.4,57,0.4,21,0.1
"November 12, 2020",Ontario,1397,1695,9.5,1600,1563,10.9,34,0.2,47,0.3,14,0.1
"November 13, 2020",Ontario,1480,1682,10,1488,1619,10.1,51,0.3,55,0.4,25,0.2
"November 14, 2020",Ontario,1341,1664,9.1,1494,1650,10.1,53,0.4,45,0.3,20,0.1
"November 15, 2020",Ontario,1320,1664,9,1304,1705,8.9,50,0.3,37,0.3,14,0.1
"November 16, 2020",Ontario,1593,1671,10.8,1343,1701,9.1,60,0.4,48,0.3,21,0.1
"November 17, 2020",Ontario,1604,1659,10.9,1259,1688,8.5,53,0.4,59,0.4,15,0.1
"November 18, 2020",Ontario,1640,1678,11.1,1490,1636,10.1,59,0.4,57,0.4,13,0.1
