"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2041278","","","","0"
"2020","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2047366","","","","0"
"2021","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2044237","","","","0"
"2010","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1959099","","","","0"
"2011","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1918095","","","","0"
"2012","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1895451","","","","0"
"2013","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1886668","","","","0"
"2014","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1893264","","","","0"
"2015","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1895463","","","","0"
"2016","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1919810","","","","0"
"2017","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1948681","","","","0"
"2018","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1992389","","","","0"
"2019","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2033308","","","","0"
"2020","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2074540","","","","0"
"2021","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2091276","","","","0"
"2010","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2248876","","","","0"
"2011","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2236197","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2197641","","","","0"
"2013","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2154873","","","","0"
"2014","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2118889","","","","0"
"2015","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2092961","","","","0"
"2016","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2083843","","","","0"
"2017","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2090598","","","","0"
"2018","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2106395","","","","0"
"2019","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2114650","","","","0"
"2020","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2102402","","","","0"
"2021","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2057449","","","","0"
"2010","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2321972","","","","0"
"2011","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2352455","","","","0"
"2012","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2389961","","","","0"
"2013","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2416433","","","","0"
"2014","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2423034","","","","0"
"2015","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2395623","","","","0"
"2016","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2387191","","","","0"
"2017","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2401419","","","","0"
"2018","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2436459","","","","0"
"2019","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2475503","","","","0"
"2020","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2484313","","","","0"
"2021","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2452701","","","","0"
"2010","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2357383","","","","0"
"2011","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2368297","","","","0"
"2012","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2383927","","","","0"
"2013","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2393577","","","","0"
"2014","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2413496","","","","0"
"2015","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2429557","","","","0"
"2016","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2466106","","","","0"
"2017","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2513657","","","","0"
"2018","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2575089","","","","0"
"2019","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2626204","","","","0"
"2020","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2647713","","","","0"
"2021","Canada","2016A000011124","Both sexes","25 to 29 years","Persons","249","units","0","v466776","1.1.37","2640110","","","","0"
"2010","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2283236","","","","0"
"2011","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2326256","","","","0"
"2012","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2368073","","","","0"
"2013","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2411649","","","","0"
"2014","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2447837","","","","0"
"2015","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2460501","","","","0"
"2016","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2488660","","","","0"
"2017","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2515087","","","","0"
"2018","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2553299","","","","0"
"2019","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2605394","","","","0"
"2020","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2664486","","","","0"
"2021","Canada","2016A000011124","Both sexes","30 to 34 years","Persons","249","units","0","v466797","1.1.43","2697788","","","","0"
"2010","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2282303","","","","0"
"2011","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2272425","","","","0"
"2012","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2291997","","","","0"
"2013","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2317467","","","","0"
"2014","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2349272","","","","0"
"2015","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2371229","","","","0"
"2016","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2410025","","","","0"
"2017","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2455926","","","","0"
"2018","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2517339","","","","0"
"2019","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2581046","","","","0"
"2020","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2632387","","","","0"
"2021","Canada","2016A000011124","Both sexes","35 to 39 years","Persons","249","units","0","v466815","1.1.49","2666647","","","","0"
"2010","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2403059","","","","0"
"2011","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2385781","","","","0"
"2012","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2381473","","","","0"
"2013","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2374735","","","","0"
"2014","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2362412","","","","0"
"2015","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2349922","","","","0"
"2016","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2342178","","","","0"
"2017","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2353730","","","","0"
"2018","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2381576","","","","0"
"2019","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2421889","","","","0"
"2020","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2465574","","","","0"
"2021","Canada","2016A000011124","Both sexes","40 to 44 years","Persons","249","units","0","v466836","1.1.55","2509664","","","","0"
"2010","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2780175","","","","0"
"2011","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2719980","","","","0"
"2012","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2657781","","","","0"
"2013","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2577529","","","","0"
"2014","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2503611","","","","0"
"2015","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2445816","","","","0"
"2016","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2431118","","","","0"
"2017","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2418092","","","","0"
"2018","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2407566","","","","0"
"2019","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2398378","","","","0"
"2020","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2392365","","","","0"
"2021","Canada","2016A000011124","Both sexes","45 to 49 years","Persons","249","units","0","v466857","1.1.61","2384473","","","","0"
"2010","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2634392","","","","0"
"2011","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2691049","","","","0"
"2012","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2726209","","","","0"
"2013","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2760814","","","","0"
"2014","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2786582","","","","0"
"2015","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2783350","","","","0"
"2016","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2734564","","","","0"
"2017","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2664892","","","","0"
"2018","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2580128","","","","0"
"2019","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2505044","","","","0"
"2020","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2452279","","","","0"
"2021","Canada","2016A000011124","Both sexes","50 to 54 years","Persons","249","units","0","v466875","1.1.67","2430334","","","","0"
"2010","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2286060","","","","0"
"2011","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2352899","","","","0"
"2012","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2431791","","","","0"
"2013","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2508170","","","","0"
"2014","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2566359","","","","0"
"2015","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2614668","","","","0"
"2016","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2665850","","","","0"
"2017","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2696684","","","","0"
"2018","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2728010","","","","0"
"2019","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2751672","","","","0"
"2020","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2746773","","","","0"
"2021","Canada","2016A000011124","Both sexes","55 to 59 years","Persons","249","units","0","v466896","1.1.73","2700181","","","","0"
"2010","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","1981245","","","","0"
"2011","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2049933","","","","0"
"2012","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2070138","","","","0"
"2013","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2110672","","","","0"
"2014","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2171609","","","","0"
"2015","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2243211","","","","0"
"2016","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2313160","","","","0"
"2017","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2388056","","","","0"
"2018","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2457486","","","","0"
"2019","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2514070","","","","0"
"2020","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2561677","","","","0"
"2021","Canada","2016A000011124","Both sexes","60 to 64 years","Persons","249","units","0","v466914","1.1.79","2606885","","","","0"
"2010","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1464326","","","","0"
"2011","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1531965","","","","0"
"2012","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1644577","","","","0"
"2013","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1741051","","","","0"
"2014","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1822528","","","","0"
"2015","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1903004","","","","0"
"2016","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1969181","","","","0"
"2017","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","1996039","","","","0"
"2018","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","2036232","","","","0"
"2019","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","2098142","","","","0"
"2020","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","2168710","","","","0"
"2021","Canada","2016A000011124","Both sexes","65 to 69 years","Persons","249","units","0","v466935","1.1.85","2233993","","","","0"
"2010","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1114688","","","","0"
"2011","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1152882","","","","0"
"2012","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1194047","","","","0"
"2013","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1248201","","","","0"
"2014","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1304022","","","","0"
"2015","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1357712","","","","0"
"2016","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1423187","","","","0"
"2017","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1533338","","","","0"
"2018","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1625616","","","","0"
"2019","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1708613","","","","0"
"2020","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1788124","","","","0"
"2021","Canada","2016A000011124","Both sexes","70 to 74 years","Persons","249","units","0","v466938","1.1.86","1853536","","","","0"
"2010","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","913391","","","","0"
"2011","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","918943","","","","0"
"2012","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","925148","","","","0"
"2013","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","939265","","","","0"
"2014","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","961547","","","","0"
"2015","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","983024","","","","0"
"2016","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1014301","","","","0"
"2017","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1057690","","","","0"
"2018","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1109685","","","","0"
"2019","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1165334","","","","0"
"2020","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1219909","","","","0"
"2021","Canada","2016A000011124","Both sexes","75 to 79 years","Persons","249","units","0","v466941","1.1.87","1280543","","","","0"
"2010","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","685077","","","","0"
"2011","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","700727","","","","0"
"2012","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","714387","","","","0"
"2013","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","723748","","","","0"
"2014","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","730784","","","","0"
"2015","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","735007","","","","0"
"2016","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","742579","","","","0"
"2017","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","751641","","","","0"
"2018","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","766499","","","","0"
"2019","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","789039","","","","0"
"2020","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","812613","","","","0"
"2021","Canada","2016A000011124","Both sexes","80 to 84 years","Persons","249","units","0","v466944","1.1.88","842288","","","","0"
"2010","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","417899","","","","0"
"2011","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","426507","","","","0"
"2012","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","437115","","","","0"
"2013","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","448403","","","","0"
"2014","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","457587","","","","0"
"2015","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","467165","","","","0"
"2016","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","480677","","","","0"
"2017","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","493687","","","","0"
"2018","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","503776","","","","0"
"2019","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","513205","","","","0"
"2020","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","519445","","","","0"
"2021","Canada","2016A000011124","Both sexes","85 to 89 years","Persons","249","units","0","v466947","1.1.89","525176","","","","0"
"2010","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","161696","","","","0"
"2011","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","175039","","","","0"
"2012","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","188036","","","","0"
"2013","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","198537","","","","0"
"2014","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","208837","","","","0"
"2015","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","214926","","","","0"
"2016","Canada","2016A000011124","Both sexes","90 to 94 years","Persons","249","units","0","v31226524","1.1.126","223290","","","","0"
